;word;part_of_speech;Positivity;Negativity;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;wn_synset_id
41;abrazare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-11460063-n
42;abraziune;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-11460063-n
43;atrițiune;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-11460063-n
44;abroga;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02478584-v
45;brusc;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
46;inopinat;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
47;neașteptat;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
48;neprevăzut;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
49;subit;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
50;abrupt;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-01143585-a
51;absent;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01847672-a
52;lipsă;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01847672-a
53;absent;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-09757653-n
54;lipsă;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-09757653-n
55;absenteism;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-01234528-n
56;desăvârșit;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
57;perfect;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
58;absolut;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
59;deplin;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
60;complet;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
61;total;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01520091-a
62;absolvență;Noun;1;0;0;1;0;1;1;0;1;1;ENG30-00212065-n
63;absolvire;Noun;1;0;0;1;0;1;1;0;1;1;ENG30-00212065-n
64;cufundat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00163948-a
65;absorbit;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00163948-a
66;captivat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00163948-a
67;subjugat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00163948-a
68;aberație;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
69;absurditate;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
70;aiureală;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
71;bazaconie;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
72;elucubrație;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
73;nonsens;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06607809-n
74;abundent;Adjective;1;0;0;0;0;0;1;0;0;0;ENG30-02025274-a
75;copios;Adjective;1;0;0;0;0;0;1;0;0;0;ENG30-02025274-a
76;abundență;Noun;1;1;0;1;1;0;1;0;0;1;ENG30-05116128-n
77;belșug;Noun;1;1;0;1;1;0;1;0;0;1;ENG30-05116128-n
78;bogăție;Noun;1;1;0;1;1;0;1;0;0;1;ENG30-05116128-n
79;opulență;Noun;1;1;0;1;1;0;1;0;0;1;ENG30-05116128-n
80;abuz;Noun;0;1;1;0;1;1;0;1;0;0;ENG30-00947719-n
81;abuza;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-02570062-v
82;academic;Adverb;1;0;0;0;0;0;0;0;0;1;ENG30-00121286-r
83;academie;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-08277805-n
84;accelera;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02055649-v
85;iuți;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02055649-v
86;zori;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02055649-v
87;se grăbi;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02055649-v
88;acceptabil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-02297966-a
89;mulțumitor;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-02297966-a
90;satisfăcător;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-02297966-a
91;acceptare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00082525-n
92;accesibil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00533452-a
93;inteligibil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00533452-a
94;accident;Noun;0;1;0;0;0;1;0;1;1;0;ENG30-07301336-n
95;accidental;Adjective;0;1;0;0;0;1;0;0;1;0;ENG30-00341655-a
96;accidental;Adverb;0;0;0;0;0;0;0;0;1;0;ENG30-00040547-r
97;întâmplător;Adverb;0;0;0;0;0;0;0;0;1;0;ENG30-00040547-r
98;accidentat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02243567-a
99;denivelat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02243567-a
100;neregulat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02243567-a
101;acciză;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-13316568-n
102;caustic;Adverb;0;1;0;0;0;0;0;0;0;0;ENG30-00099228-r
103;acid;Adverb;0;1;0;0;0;0;0;0;0;0;ENG30-00099228-r
104;mușcător;Adverb;0;1;0;0;0;0;0;0;0;0;ENG30-00099228-r
105;acompaniament;Noun;1;0;0;1;0;0;1;0;0;1;ENG30-07031752-n
106;înveli;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-02749405-v
107;acoperi;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-02749405-v
108;aranjament;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-06770275-n
109;convenție;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-06770275-n
110;înțelegere;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-06770275-n
111;învoială;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-06770275-n
112;acord;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-06770275-n
113;conferi;Verb;1;0;0;1;0;0;1;0;0;1;ENG30-02263346-v
114;decerna;Verb;1;0;0;1;0;0;1;0;0;1;ENG30-02263346-v
115;atribui;Verb;1;0;0;1;0;0;1;0;0;1;ENG30-02263346-v
116;acorda;Verb;1;0;0;1;0;0;1;0;0;1;ENG30-02263346-v
117;acreditare;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-01140193-n
118;acreditat;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-00178811-a
119;acrobat;Noun;1;0;0;0;0;1;1;0;0;1;ENG30-09764381-n
120;acru;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-02399014-a
121;acțiune;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00037396-n
122;faptă;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00037396-n
123;acțiune;Noun;1;0;0;1;0;0;1;0;0;1;ENG30-13417071-n
124;activare;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-00236821-n
125;acuitate;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05620468-n
126;agerime;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05620468-n
127;ascuțime;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05620468-n
129;acuzat;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762011-n
130;inculpat;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762011-n
131;împricinat;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762011-n
132;învinuit;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762011-n
133;pârât;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762011-n
134;acuzare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07236627-n
135;acuzație;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07236627-n
136;învinuire;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07236627-n
137;acuzator;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-09762385-n
138;adăpost;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-08643933-n
139;refugiu;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-08643933-n
140;adapta;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00299580-v
141;ajusta;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00299580-v
142;elastic;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01028163-a
143;flexibil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01028163-a
144;adaptabil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01028163-a
145;adecvare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-04792357-n
146;potrivire;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-04792357-n
147;adept;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-10016103-n
148;discipol;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-10016103-n
149;partizan;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-10016103-n
150;susținător;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-10016103-n
151;aderare;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-01212882-n
152;adevăr;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-05819453-n
153;adipos;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-00986027-a
154;gras;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-00986027-a
155;administra;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02440244-v
156;cârmui;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02440244-v
157;conduce;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02440244-v
158;administrativ;Adverb;0;0;0;0;0;0;0;0;0;1;ENG30-00265166-r
159;admira;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02164694-v
160;admirabil;Adjective;1;0;0;0;0;0;1;0;0;1;ENG30-00904290-a
161;admirație;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01218593-n
162;prețuire;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01218593-n
163;apreciere;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01218593-n
164;stimă;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01218593-n
165;admirator;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-09771435-n
166;adorator;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-09771435-n
167;admisibil;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-01762404-a
168;permisibil;Adjective;1;0;0;0;0;0;0;0;0;1;ENG30-01762404-a
169;ocară;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-06713377-n
170;muștruluială;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-06713377-n
171;admonestare;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-06713377-n
172;reproș;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-06713377-n
173;adorabil;Adjective;1;0;0;0;0;0;1;0;0;0;ENG30-01459755-a
174;adorație;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01044448-n
175;cult;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01044448-n
176;venerație;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01044448-n
177;adorare;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-01044448-n
178;înșelare;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-00848466-n
179;adulter;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-00848466-n
180;infidelitate;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-00848466-n
181;încercare;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-07336612-n
182;vicisitudine;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-07336612-n
183;necaz;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-07336612-n
184;adversitate;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-07336612-n
185;aeroport;Noun;0;0;0;1;0;0;0;0;0;0;ENG30-02687992-n
186;afabil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01075178-a
187;amiabil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01075178-a
188;cordial;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-01075178-a
189;afacere;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-01096454-n
190;afacere;Noun;1;0;0;1;0;0;1;0;1;1;ENG30-07293180-n
192;afecțiune;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-07544647-n
193;efeminat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01476325-a
194;castrat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01476325-a
195;afiliat;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-09776346-n
196;afirma;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-01016778-v
197;pretinde;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-01016778-v
198;proclama;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-01016778-v
199;susține;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-01016778-v
200;afirmație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-06722453-n
201;aserțiune;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-06722453-n
202;declarație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-06722453-n
203;vorbă;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-06722453-n
204;spusă;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-06722453-n
205;insinuare;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-07238455-n
206;insinuație;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-07238455-n
207;afirmativ;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00075135-a
209;înfloritor;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-02022556-a
210;prosper;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-02022556-a
211;îmbelșugare;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
212;îndestulare;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
213;abundență;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
214;belșug;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
215;bogăție;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
216;prisos;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
217;opulență;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
218;afluență;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14491625-n
219;agă;Noun;1;0;0;0;0;1;0;0;0;1;ENG30-06340047-n
220;ager;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
221;agil;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
222;isteț;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
223;iute;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
224;repede;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
225;sprinten;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
226;vioi;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00438707-a
227;agilitate;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05003850-n
228;iuțeală;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05003850-n
229;sprinteneală;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05003850-n
230;neastâmpărat;Adverb;0;1;1;0;0;0;0;0;0;0;ENG30-00344933-r
231;neascultător;Adverb;0;1;1;0;0;0;0;0;0;0;ENG30-00344933-r
232;agitat;Adverb;0;1;1;0;0;0;0;0;0;0;ENG30-00344933-r
233;tulburare;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-04904996-n
234;agitație;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-04904996-n
235;freamăt;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-04904996-n
236;zgomot;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-00555138-n
237;gălăgie;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-00555138-n
238;vacarm;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-00555138-n
239;tărăboi;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-00555138-n
240;agitație;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-00555138-n
241;agonie;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-07495551-n
242;agravant;Adjective;0;1;1;0;0;0;0;1;0;0;ENG30-01340422-a
243;agasare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07518261-n
244;enervare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07518261-n
245;iritare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07518261-n
246;iritație;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-07518261-n
247;agasat;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-02455845-a
248;enervat;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-02455845-a
249;iritat;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-02455845-a
250;sâcâit;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-02455845-a
252;agrement;Noun;1;0;0;1;0;0;1;0;0;0;ENG30-00429949-n
253;distracție;Noun;1;0;0;1;0;0;1;0;0;0;ENG30-00429949-n
254;agresiune;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-01237167-n
255;atac;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-01237167-n
256;brutal;Adverb;0;1;1;0;0;1;0;0;0;0;ENG30-00481785-r
257;agresiv;Adverb;0;1;1;0;0;1;0;0;0;0;ENG30-00481785-r
258;agricultură;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00453731-n
259;dezordine;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
260;răvășeală;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
261;zăpăceală;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
262;brambureală;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
263;harababură;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
264;talmeș-balmeș;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14500047-n
265;distras;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00085870-a
266;ajunge;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02020590-v
267;sosi;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-02020590-v
268;ajuta;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02414710-v
269;asista;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02414710-v
270;secunda;Verb;1;0;0;0;0;0;0;0;0;1;ENG30-02414710-v
271;ajutor;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-01209487-n
272;asistență;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-01209487-n
273;sprijin;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-01209487-n
274;ajutor;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-09780249-n
275;asistent;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-09780249-n
276;alabastru;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-04961062-n
278;alarmă;Noun;0;1;0;0;0;1;0;0;1;0;ENG30-06803157-n
279;alarmant;Adjective;0;1;0;0;0;1;0;0;1;0;ENG30-00193015-a
280;alătura;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-01295275-v
281;conectat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00566099-a
282;alb;Adjective;1;0;0;1;0;0;1;0;0;1;ENG30-00393105-a
283;alcoolism;Noun;0;1;1;0;1;1;0;1;0;0;ENG30-14064644-n
284;etilism;Noun;0;1;1;0;1;1;0;1;0;0;ENG30-14064644-n
285;alege;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00679937-v
286;opta;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00679937-v
287;alegere;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00161243-n
288;opțiune;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00161243-n
289;alarmare;Noun;0;0;0;1;0;1;0;0;1;0;ENG30-07519773-n
290;alertă;Noun;0;0;0;1;0;1;0;0;1;0;ENG30-07519773-n
291;alertare;Noun;0;0;0;1;0;1;0;0;1;0;ENG30-07519773-n
292;alegere;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05790242-n
293;ales;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05790242-n
294;selectat;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05790242-n
295;ales;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-10048836-n
296;acord;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-06773684-n
297;alianță;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-06773684-n
298;aliat;Adjective;1;0;0;0;0;0;0;0;0;1;DEX
299;aliat;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-08305942-n
300;anomic;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01683908-a
301;alienat;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01683908-a
302;dezorientat;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01683908-a
303;aliment;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-00021265-n
304;hrană;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-00021265-n
305;mâncare;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-00021265-n
306;papă;Noun;1;0;0;0;0;0;1;0;0;1;ENG30-00021265-n
307;alimentare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-01057759-n
308;hrănire;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-01057759-n
309;nutriție;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-07570720-n
310;alimentație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-07570720-n
311;nutriment;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-07570720-n
312;hrană;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-07570720-n
313;alinare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
314;calmare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
315;domolire;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
316;liniștire;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
317;temperare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
318;ușurare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00354884-n
319;allegro;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00270713-r
320;acrit;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01069283-a
321;alterat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01069283-a
322;altercație;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-07184545-n
323;scandal;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-07184545-n
324;zarvă;Noun;0;1;1;0;0;0;0;0;0;0;ENG30-07184545-n
326;patinaj;Noun;1;0;0;1;0;0;1;0;0;0;ENG30-00328885-n
327;patinare;Noun;1;0;0;1;0;0;1;0;0;0;ENG30-00328885-n
328;alunecare;Noun;1;0;0;1;0;0;1;0;0;0;ENG30-00328885-n
329;alunecare;Noun;0;1;0;0;0;0;0;0;1;0;ENG30-07317519-n
330;alunga;Verb;0;1;1;0;1;1;0;1;0;0;ENG30-02002720-v
331;goni;Verb;0;1;1;0;1;1;0;1;0;0;ENG30-02002720-v
332;izgoni;Verb;0;1;1;0;1;1;0;1;0;0;ENG30-02002720-v
333;amabil;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00218479-r
334;politicos;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00218479-r
335;amânare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-06548317-n
336;amantă;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-10323752-n
337;țiitoare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-10323752-n
